asset,feature,horizon_days,mi,mi_null_mean,mi_p,trend_vs_time,mi_q
BTC,HashRate_30d_MA,7,0.13599567116967193,0.004592878935393418,0.0033222591362126247,0.9883899091998062,0.03571428571428571
BTC,CapMVRVCur,7,0.05540243062165273,0.004410079075544221,0.0033222591362126247,0.03277766884377718,0.03571428571428571
BTC,NVT_Tx_Basis,7,0.05041374012998756,0.004185608536879375,0.0033222591362126247,0.30251527159939384,0.03571428571428571
BTC,Volatility_30d,7,0.03886561125758892,0.004390635881460088,0.0033222591362126247,0.5771097237255515,0.03571428571428571
BTC,NVT_Tx_Basis_lag_1d,7,0.03326113595216906,0.004820975641351924,0.006644518272425249,0.3034452845780707,0.05714285714285714
BTC,ExchangeNetFlow_7d_MA,7,0.028576448417464873,0.004339314599580364,0.009966777408637873,0.22673281278763835,0.07142857142857142
BTC,NVT_Tx_Basis_lag_7d,7,0.021574464570004226,0.004122780333351006,0.016611295681063124,0.3097686016964571,0.10204081632653063
BTC,Price_Dist_lag_90d,7,0.019410385302443656,0.004292279723852445,0.04318936877076412,0.08034762513151945,0.23214285714285712
BTC,Price_Dist_lag_182d,7,0.01748626787671448,0.00495417480316608,0.06976744186046512,0.11228793318616988,0.2619047619047619
BTC,NVT_Tx_Basis_lag_14d,7,0.016525579871465634,0.004950178866046587,0.06976744186046512,0.3180352973170504,0.2619047619047619
BTC,HashRate_vs_MA30,7,0.015729609191684313,0.003832693773052533,0.07308970099667775,0.04877085603955505,0.2619047619047619
BTC,NVT_Tx_Basis_lag_3d,7,0.014552378042339775,0.003724618772084254,0.06976744186046512,0.30534321171230466,0.2619047619047619
BTC,Price_vs_MA7,7,0.008589119873501305,0.0040405252407632,0.2026578073089701,0.010940542983736283,0.6703296703296703
BTC,AdrActCnt_lag_7d,7,0.007989015620711637,0.004784621099457126,0.2591362126245847,0.7091551897606978,0.7053571428571429
BTC,Puell_Multiple,7,0.007687708296077567,0.004566655994630751,0.24584717607973422,0.18444316440147712,0.7053571428571429
BTC,AdrActCnt_lag_30d,7,0.005036670290674339,0.003989455816300962,0.26245847176079734,0.7083373366298256,0.7053571428571429
BTC,AdrActCnt_lag_1d,7,0.004804528310005107,0.004937338779446845,0.32558139534883723,0.7101021229929354,0.7357142857142858
BTC,Velocity_Momentum_lag_3d,7,0.004595603211978716,0.004821461614833182,0.37209302325581395,0.02667579530931524,0.7407407407407407
BTC,NVT_Tx_Basis_lag_30d,7,0.004161153397155504,0.00416769755964659,0.31561461794019935,0.33810522310280305,0.7357142857142858
BTC,FlowInExUSD,7,0.004141597610305636,0.004006838184637803,0.30564784053156147,0.37017239627509535,0.7357142857142858
BTC,FeeTotNtv,7,0.0032775190053588865,0.004095369445531442,0.34219269102990035,0.609825124226502,0.7357142857142858
BTC,Tx_Intensity_lag_7d,7,0.002532082530001478,0.004666825942060099,0.4318936877076412,0.833913839751111,0.7407407407407407
BTC,Tx_Intensity_lag_1d,7,0.001461749073836005,0.004251332160159123,0.45514950166112955,0.8353877262463075,0.7407407407407407
BTC,Activity_Velocity,7,0.001397127394754616,0.004046751569116767,0.4584717607973422,0.8358134474874658,0.7407407407407407
BTC,Tx_Intensity,7,0.001397127394754616,0.004046751569116767,0.4584717607973422,0.8358134474874658,0.7407407407407407
BTC,AdrActCnt_lag_14d,7,0.0009359776402821929,0.004718725378874036,0.42857142857142855,0.7094092040087487,0.7407407407407407
BTC,Tx_Intensity_lag_30d,7,0.00014614503062992945,0.004241190234021789,0.46511627906976744,0.8273934806404878,0.7407407407407407
BTC,FearGreedValue,7,0.0,0.004453159565754448,1.0,0.02735643355796129,1.0
BTC,IssTotUSD,7,0.0,0.004161151743638861,1.0,0.16581100311896754,1.0
BTC,FlowOutExUSD,7,0.0,0.004645544937692452,1.0,0.382554510936153,1.0
BTC,HashRate,7,0.0,0.004831579320357276,1.0,0.9796930287055996,1.0
BTC,AdrActCnt,7,0.0,0.004367802006098368,1.0,0.7098586140729629,1.0
BTC,Velocity_Momentum,7,0.0,0.0037131111173641287,1.0,0.03128119123794832,1.0
BTC,AdrActCnt_lag_3d,7,0.0,0.005135682422735449,1.0,0.7097748327710129,1.0
BTC,Velocity_Momentum_lag_1d,7,0.0,0.004556578530128044,1.0,0.029946502099978862,1.0
BTC,Tx_Intensity_lag_14d,7,0.0,0.00453034159433606,1.0,0.8322855412856319,1.0
BTC,Velocity_Momentum_lag_7d,7,0.0,0.004188630344991024,1.0,0.026452408235787258,1.0
BTC,Tx_Intensity_lag_3d,7,0.0,0.00437133189584425,1.0,0.8349965778387234,1.0
BTC,Log_Return,7,0.0,0.0046390061489370955,1.0,0.009658523665865861,1.0
BTC,Price_Dist_lag_30d,7,0.0,0.004572948419576398,1.0,0.01867122354577151,1.0
BTC,Velocity_Momentum_lag_30d,7,0.0,0.005065041589123283,1.0,0.02559589578059222,1.0
BTC,Velocity_Momentum_lag_14d,7,0.0,0.0039663081054269874,1.0,0.025802864904909618,1.0
BTC,ExchangeNetFlow,7,0.0,0.004770168965537643,1.0,0.09631154888198783,1.0
ADA,SplyCur,7,0.37165561489742016,0.004192727858464405,0.0033222591362126247,0.9999999924004898,0.014950166112956811
ADA,ActiveStakeADA,7,0.2996576596829794,0.004975223731234731,0.0033222591362126247,0.37763375018834683,0.014950166112956811
ADA,StakingRatio,7,0.23934824331228066,0.0037894678515961924,0.0033222591362126247,0.5617668982851725,0.014950166112956811
ADA,Volatility_30d,7,0.0505757234241313,0.004436438759326836,0.0033222591362126247,0.3045633684621326,0.014950166112956811
ADA,NVT_Tx_Basis_lag_14d,7,0.04095812000105492,0.004615815070539938,0.0033222591362126247,0.13578583967175234,0.014950166112956811
ADA,NVT_Tx_Basis_lag_30d,7,0.03984988862882144,0.00397463671395347,0.0033222591362126247,0.15471879839482894,0.014950166112956811
ADA,NVT_Tx_Basis_lag_7d,7,0.039790471488599044,0.005003550245456772,0.0033222591362126247,0.1272053390764352,0.014950166112956811
ADA,NVT_Tx_Basis_lag_1d,7,0.036746447845633634,0.004362679310672814,0.0033222591362126247,0.12122885245502146,0.014950166112956811
ADA,Activity_Velocity,7,0.02519025183759771,0.0037027263982606583,0.006644518272425249,0.8047035243292272,0.0239202657807309
ADA,Tx_Intensity,7,0.02519025183759771,0.0037027263982606583,0.006644518272425249,0.8047035243292272,0.0239202657807309
ADA,Price_Dist_lag_182d,7,0.02398257423982164,0.004012989858070228,0.023255813953488372,0.3687676240953947,0.07610993657505286
ADA,NVT_Tx_Basis,7,0.021390683643935704,0.004221731027028559,0.029900332225913623,0.12023944942105759,0.08970099667774087
ADA,NVT_Tx_Basis_lag_3d,7,0.020451764005113837,0.0042969399366882865,0.046511627906976744,0.12336649461945493,0.11162790697674418
ADA,Tx_Intensity_lag_1d,7,0.02035407074843154,0.004439822750021828,0.03322259136212625,0.8052583683700836,0.09200102223358038
ADA,AdrActCnt_lag_7d,7,0.0172376598104258,0.004506154645622213,0.0664451827242525,0.493331881417339,0.14950166112956811
ADA,Price_Dist_lag_90d,7,0.016854117964230753,0.003720044688361454,0.046511627906976744,0.2536595729608489,0.11162790697674418
ADA,AdrActCnt_lag_14d,7,0.015573575522791261,0.005477538123599582,0.11627906976744186,0.48025063235604293,0.2152823920265781
ADA,FearGreedValue,7,0.014991691495146231,0.00379979344702502,0.07973421926910298,0.13302882527494556,0.15946843853820597
ADA,Tx_Intensity_lag_3d,7,0.014430808454599209,0.004001495157539734,0.07641196013289037,0.8056830923303824,0.15946843853820597
ADA,Velocity_Momentum_lag_14d,7,0.012615756381123777,0.003984792641512122,0.11960132890365449,0.029213258234720027,0.2152823920265781
ADA,AdrActCnt,7,0.01232404672628018,0.0044091169172976,0.12624584717607973,0.5090042512648479,0.21642145230185095
ADA,Price_Dist_lag_30d,7,0.009213218885281815,0.003895459755837165,0.16943521594684385,0.1267391585213058,0.2772576260948354
ADA,CapMVRVCur,7,0.008920340125671444,0.004716889285311819,0.22591362126245848,0.2627259799066543,0.3388704318936877
ADA,Velocity_Momentum,7,0.008600845906755694,0.003846503416412994,0.18272425249169436,0.03098958801870845,0.2860031778130868
ADA,Velocity_Momentum_lag_7d,7,0.0072548470353825945,0.004432243479254156,0.2591362126245847,0.03812670983834429,0.37315614617940196
ADA,Tx_Intensity_lag_30d,7,0.006091874423249211,0.0047882977450918775,0.31561461794019935,0.815266782737786,0.42081949058693247
ADA,Tx_Intensity_lag_7d,7,0.0042896248751507216,0.003950734792017251,0.3122923588039867,0.8063485497756488,0.42081949058693247
ADA,Tx_Intensity_lag_14d,7,0.0037089334543687347,0.004091366044018999,0.34551495016611294,0.809005607064297,0.44423350735643097
ADA,Log_Return,7,0.0033660377952766662,0.004256957087291995,0.3687707641196013,0.035196271568826994,0.4577843968381258
ADA,AdrActCnt_lag_1d,7,0.0017960355386839044,0.0040805184660389305,0.4485049833887043,0.506729943448678,0.5382059800664452
ADA,Velocity_Momentum_lag_30d,7,0.001204381333455462,0.00495708906643622,0.49169435215946844,0.03474179679260518,0.5709998928303505
ADA,Velocity_Momentum_lag_1d,7,0.0,0.003693186908589301,1.0,0.032521516287463456,1.0
ADA,Velocity_Momentum_lag_3d,7,0.0,0.004434576069705582,1.0,0.03595437717634536,1.0
ADA,AdrActCnt_lag_3d,7,0.0,0.004692767315402794,1.0,0.5020066033531811,1.0
ADA,AdrActCnt_lag_30d,7,0.0,0.0038673674435792935,1.0,0.44020545618050644,1.0
ADA,Price_vs_MA7,7,0.0,0.004208817142211146,1.0,0.05864460848029472,1.0
