asset,model,horizon_days,threshold,n_folds,n_samples,n_features_A,n_features_B,A_f1_bs,B_f1_bs,delta_f1_bs_mean,delta_f1_bs_std,A_f1_buy,B_f1_buy,delta_f1_buy_mean,delta_f1_buy_std,A_f1_sell,B_f1_sell,delta_f1_sell_mean,delta_f1_sell_std,A_mcc_buy,B_mcc_buy,delta_mcc_buy_mean,delta_mcc_buy_std,A_mcc_sell,B_mcc_sell,delta_mcc_sell_mean,delta_mcc_sell_std,wilcoxon_p_f1_bs
BTC,lr,7,fixed_1%,27,1972,6,43,0.15141055968760922,0.16367263476005092,0.012262075072441703,0.17977018380671705,0.13840418840418842,0.2364000336382936,0.09799584523410518,0.23125419097430316,0.16441693097103005,0.09094523588180828,-0.07347169508922179,0.2438808159240588,0.019049111513327718,-0.06702026148961925,-0.08606937300294698,0.24612319968339527,-0.00939887373278278,-0.044491359478484906,-0.035092485745702125,0.2645283482330408,0.661178771669188
BTC,lr,14,fixed_0.5%,27,1965,6,43,0.1998126992244109,0.25859427194774126,0.05878157272333034,0.19836649725288708,0.20242617085765152,0.3667336870774673,0.1643075162198158,0.25093345681426094,0.1971992275911702,0.15045485681801513,-0.04674437077315509,0.27217667960590736,0.02108014557493346,0.0186375588701338,-0.0024425867047996627,0.2693527862045308,-0.021424320892918288,0.016406860726820613,0.03783118161973891,0.17656791361644741,0.17024139590961385
BTC,lr,14,fixed_1%,27,1965,6,43,0.18705989430061948,0.21556878243368732,0.02850888813306786,0.19899108903705617,0.2029343086346677,0.2968162965238026,0.09388198788913495,0.2016180655678749,0.17118547996657127,0.13432126834357205,-0.03686421162299923,0.28859151774159053,0.015778292263032703,-0.008081138082098867,-0.023859430345131567,0.1986559440353983,-0.008910739998874422,0.02531417422155273,0.034224914220427144,0.207859547683905,0.4593363573147894
BTC,lr,30,fixed_0.5%,26,1949,6,43,0.2742900203470177,0.2899725395035653,0.01568251915654759,0.20336326719954972,0.2191223292777319,0.3569236399581024,0.1378013106803705,0.2614104782923179,0.32945771141630353,0.22302143904902821,-0.10643627236727529,0.33644508958263425,0.0009942273411754226,0.04748818108918196,0.04649395374800653,0.21413632058457438,-0.044908424498127514,0.04614991173880597,0.09105833623693349,0.22633310990646577,0.7982476237849793
BTC,lr,30,fixed_1%,26,1949,6,43,0.29814717375891253,0.2410435755354071,-0.05710359822350544,0.19552195560607083,0.21705093912396023,0.29643848057490546,0.07938754145094522,0.21129427474863824,0.3792434083938649,0.18564867049590875,-0.19359473789795614,0.3753620494104759,-0.042623908451393265,0.006009580430992998,0.04863348888238627,0.24581233478184383,-0.007042043198012739,0.04260619441238271,0.049648237610395454,0.2260622973811812,0.24181965823701845
ADA,lr,7,fixed_0.5%,29,2116,6,36,0.2670922908563375,0.21810552640585057,-0.048986764450486886,0.15264815108092206,0.16602707943465406,0.20329008384333525,0.03726300440868117,0.22100869056511827,0.3681575022780209,0.23292096896836595,-0.13523653330965493,0.30916250623241076,-0.0839182727614132,-0.06124979454724184,0.022668478214171367,0.2521932556098607,0.10806461671998467,-0.016448093838020393,-0.12451271055800506,0.22716407862600768,0.08766292505133104
ADA,lr,7,fixed_1%,29,2116,6,36,0.206811013233669,0.1729301484148369,-0.03388086481883208,0.18131227778266185,0.10299304782063404,0.13394311274529058,0.03095006492465658,0.2560240052837787,0.31062897864670397,0.21191718408438323,-0.09871179456232074,0.3226395443591655,-0.06774380577987887,-0.004456463464403637,0.06328734231547524,0.24149184669223436,0.046677556449549164,-0.016443428511400102,-0.06312098496094926,0.26253559925064424,0.3365521878439186
ADA,lr,14,fixed_0.5%,29,2109,6,36,0.1295998833259642,0.22250974976297985,0.09290986643701564,0.19040250886725774,0.13637405201308808,0.08754470419981118,-0.04882934781327688,0.24888522526579449,0.12282571463884033,0.35747479532614845,0.2346490806873082,0.31779133546109,-0.06297880032101177,-0.03156319455061182,0.03141560577039996,0.19231285024855235,-0.06342075658271072,-0.03543973657556078,0.027981020007149963,0.3679521362423963,0.017248403467000253
ADA,lr,14,fixed_1%,29,2109,6,36,0.23878269347105172,0.2325217541063651,-0.006260939364686551,0.19730523430067126,0.17824124042411876,0.0822477650063857,-0.09599347541773305,0.28019884799148476,0.29932414651798456,0.38279574320634446,0.08347159668835996,0.2981086338753687,-0.12561571215876216,-0.03021647825568793,0.09539923390307424,0.24291053997308443,0.034971487563905196,-0.02903399669804557,-0.06400548426195075,0.3397415392029417,0.9274221545542304
ADA,lr,30,fixed_0.5%,28,2093,6,36,0.2797536119315408,0.2584018690476446,-0.02135174288389621,0.22241357948514184,0.17075724364092343,0.16227361496244505,-0.00848362867847836,0.24774938385903855,0.38874998022215823,0.3545301231328442,-0.034219857089314035,0.3225236869822704,-0.027088654550988887,0.04358150129757877,0.07067015584856766,0.24025249978931518,0.04643890903812621,0.06759391548884644,0.021155006450720232,0.23920363809889814,0.7915680312154841
ADA,lr,30,fixed_1%,28,2093,6,36,0.2755451728974248,0.2305179986613788,-0.04502717423604604,0.22337679073410494,0.15755471323513195,0.16059568372193359,0.0030409704868016646,0.2715633174291337,0.39353563255971763,0.3004403136008239,-0.09309531895889374,0.2969449714134102,-0.05873164184347767,0.032258348105204206,0.09098998994868186,0.25590309000249145,0.07451480569425505,0.07829013303391212,0.003775327339657093,0.19502231591891203,0.23116721286114483
