asset,regime,n_days,share,mean_fwd30,mean_vol,median_date
BTC,0,233,0.11948717948717949,0.02215029607710271,0.03985668682096197,2021-04-26
BTC,1,855,0.43846153846153846,0.03727691757948371,0.029505767102977084,2022-11-17
BTC,2,356,0.18256410256410258,0.05511231255507886,0.025660762340717017,2024-09-12
BTC,3,506,0.2594871794871795,-0.009231894711642144,0.023177486592443258,2025-05-02
ADA,0,408,0.1786339754816112,0.18492206878226328,0.06290863578586513,2020-08-22
ADA,1,1379,0.6037653239929948,0.023973645642369017,0.0385373697678253,2024-05-02
ADA,2,260,0.1138353765323993,0.36922421811668116,0.06775906773574034,2021-05-14
ADA,3,237,0.10376532399299475,-0.12801386816905036,0.04631476220196472,2022-01-16
