asset,feature,horizon_days,n,pearson_r,spearman_r,naive_p,nw_p,nw_q
BTC,AdrActCnt,3,2341,0.03909340978785858,0.04464520203939218,0.030770232598109074,0.2261346439094687,0.48018714509171134
BTC,CapMVRVCur,3,2341,0.013413784942251792,-8.429805282479057e-05,0.9967474416635774,0.7258328866861732,0.7987088565117757
BTC,HashRate,3,2341,-0.04265879703060064,-0.05890986625882251,0.004354881192586887,0.13545594893933421,0.36583669212645087
BTC,FlowInExUSD,3,2341,-0.0609393490574872,-0.06516733070885446,0.0016065329169524965,0.019095760948197055,0.10263971509655917
BTC,FlowOutExUSD,3,2341,-0.056104594746722865,-0.06648528143407784,0.001287913247053532,0.031196031986449737,0.15781522063733397
BTC,IssTotUSD,3,2341,-0.08099078696178115,-0.07906382412255697,0.00012847320152481456,0.007476115514829777,0.04592470959109721
BTC,FeeTotNtv,3,2341,0.032827842677515776,0.06728649830271646,0.0011238427796193245,0.2024060950656713,0.45212790066617486
BTC,NVT_Tx_Basis,3,2314,-0.08899432879086998,-0.09631153804061228,3.4628310665726027e-06,0.0016131461753587345,0.011098445686468093
BTC,Activity_Velocity,3,2341,-0.02697112785541789,-0.01491697931653121,0.47066589444743984,0.31786168103835677,0.5467220913859736
BTC,FearGreedValue,3,2340,0.05948121166110338,0.03154515777615448,0.12713058452297002,0.09910994247230219,0.3342531393183525
BTC,Tx_Intensity,3,2341,-0.02697112785541789,-0.01491697931653121,0.47066589444743984,0.31786168103835677,0.5467220913859736
BTC,Velocity_Momentum,3,2334,-0.04828235972163872,-0.053326531039505826,0.009973766037412953,0.01784399296880719,0.09900538034305925
BTC,Log_Return,3,2340,-0.022098667975555115,-0.01899688005566102,0.35833710030921156,0.37134432470853496,0.5506139987057588
BTC,Tx_Intensity_lag_1d,3,2340,-0.029733760662407592,-0.01633678377892116,0.429586974968607,0.26646844642571665,0.5196226327024918
BTC,AdrActCnt_lag_1d,3,2340,0.040044921426088446,0.04388180908949408,0.033786800974503865,0.22022826300444154,0.4794843194527082
BTC,NVT_Tx_Basis_lag_1d,3,2313,-0.0883553106102054,-0.09465142907985945,5.11748290100509e-06,0.0017432170002934413,0.01116755514675534
BTC,Velocity_Momentum_lag_1d,3,2333,-0.032805582030974806,-0.03477499845202385,0.09309753862891211,0.10917221079808676,0.34110714613867826
BTC,Tx_Intensity_lag_3d,3,2338,-0.032362507151071356,-0.014663938464452969,0.4785091585580792,0.22371434454843941,0.48018714509171134
BTC,AdrActCnt_lag_3d,3,2338,0.03795513578263607,0.04711712639672179,0.022708992618323175,0.23910088666228202,0.4951865153465775
BTC,NVT_Tx_Basis_lag_3d,3,2311,-0.09115887693913562,-0.09720659214983786,2.846986407899643e-06,0.0012532188993283142,0.009797893212930456
BTC,Velocity_Momentum_lag_3d,3,2331,-0.02054974577236179,-0.017216391465318504,0.40606937831987394,0.30385597359233285,0.5467220913859736
BTC,Tx_Intensity_lag_7d,3,2334,-0.005812841220070617,0.0032447787199662522,0.8754997853133103,0.8326169109458162,0.8640891475861532
BTC,AdrActCnt_lag_7d,3,2334,-0.006617838342407069,-0.00010923416588279062,0.9957916266593781,0.8389702770167884,0.8640891475861532
BTC,NVT_Tx_Basis_lag_7d,3,2307,-0.09210875590242744,-0.09737463830926288,2.7910256502944076e-06,0.0012331353827309713,0.009797893212930456
BTC,Velocity_Momentum_lag_7d,3,2327,0.018133886028844342,0.022702307818130894,0.2736529022589843,0.3635808114377719,0.5506139987057588
BTC,Tx_Intensity_lag_14d,3,2327,-0.012254693278565936,-0.008386113716894142,0.6859719857481883,0.6564096442684156,0.7427793343037334
BTC,AdrActCnt_lag_14d,3,2327,0.018652419772694075,0.019784733239192775,0.3400957483220641,0.5500981459134995,0.6912942479614467
BTC,NVT_Tx_Basis_lag_14d,3,2300,-0.09434521200145575,-0.09976130035760587,1.6369592446016601e-06,0.0009895127469724447,0.009797893212930456
BTC,Velocity_Momentum_lag_14d,3,2320,-0.02079506670338381,-0.012596883554763566,0.544220404902143,0.29091411484154894,0.5438829103559394
BTC,Tx_Intensity_lag_30d,3,2311,-0.020105882357858644,-0.0022069934006826767,0.9155512377388655,0.4836339604755667,0.644845280634089
BTC,AdrActCnt_lag_30d,3,2311,0.022022571458014964,0.014801731442412617,0.4769506619327579,0.5064446094287802,0.6649501742118336
BTC,NVT_Tx_Basis_lag_30d,3,2284,-0.10634502396917721,-0.1124978485443399,7.022871487329639e-08,0.0002096673335304367,0.009015695341808778
BTC,Velocity_Momentum_lag_30d,3,2304,0.008202587950308591,0.027244569078843053,0.19112025097921242,0.649411723556711,0.739727261269896
BTC,Price_Dist_lag_30d,3,2311,0.05913391175251968,0.06971818112398967,0.0007970403934462944,0.13626354136480617,0.36583669212645087
BTC,Price_Dist_lag_90d,3,2251,0.07521963062322828,0.03844738697806567,0.06818443043455187,0.10140627723243323,0.33542076315343294
BTC,Price_Dist_lag_182d,3,2159,0.02601166097106185,0.02076549568304453,0.33483800419789844,0.5546430594109282,0.6912942479614467
