asset,feature,lag,granger_p,n,granger_q
ADA,Tx_Intensity_lag_1d,1,0.9043746594324735,2341,0.9378700171892318
ADA,Tx_Intensity_lag_1d,3,0.9656817701135633,2339,0.9726291209776896
ADA,Tx_Intensity_lag_1d,7,0.760288575089513,2335,0.9378700171892318
ADA,Tx_Intensity_lag_1d,14,0.8953745871424706,2328,0.9378700171892318
ADA,AdrActCnt_lag_1d,1,0.4766966352756284,2341,0.9378700171892318
ADA,AdrActCnt_lag_1d,3,0.2870701999460184,2339,0.9378700171892318
ADA,AdrActCnt_lag_1d,7,0.3826343290634073,2335,0.9378700171892318
ADA,AdrActCnt_lag_1d,14,0.3859572554723947,2328,0.9378700171892318
ADA,NVT_Tx_Basis_lag_1d,1,0.2900303850834333,2314,0.9378700171892318
ADA,NVT_Tx_Basis_lag_1d,3,0.11719252576695698,2312,0.9378700171892318
ADA,NVT_Tx_Basis_lag_1d,7,0.2785855793389131,2308,0.9378700171892318
ADA,NVT_Tx_Basis_lag_1d,14,0.42640276062548765,2301,0.9378700171892318
ADA,Velocity_Momentum_lag_1d,1,0.850829825546284,2334,0.9378700171892318
ADA,Velocity_Momentum_lag_1d,3,0.9780409694897927,2332,0.9780409694897927
ADA,Velocity_Momentum_lag_1d,7,0.7725415993758626,2328,0.9378700171892318
ADA,Velocity_Momentum_lag_1d,14,0.8587430292982355,2321,0.9378700171892318
ADA,Tx_Intensity_lag_3d,1,0.8085046321183433,2339,0.9378700171892318
ADA,Tx_Intensity_lag_3d,3,0.6660075106776755,2337,0.9378700171892318
ADA,Tx_Intensity_lag_3d,7,0.7348979354228771,2333,0.9378700171892318
ADA,Tx_Intensity_lag_3d,14,0.8619241436961617,2326,0.9378700171892318
ADA,AdrActCnt_lag_3d,1,0.13109742325318308,2339,0.9378700171892318
ADA,AdrActCnt_lag_3d,3,0.18168563621733516,2337,0.9378700171892318
ADA,AdrActCnt_lag_3d,7,0.3668290617928107,2333,0.9378700171892318
ADA,AdrActCnt_lag_3d,14,0.5167957272964754,2326,0.9378700171892318
ADA,NVT_Tx_Basis_lag_3d,1,0.08344626296544118,2312,0.9378700171892318
ADA,NVT_Tx_Basis_lag_3d,3,0.06314126186710195,2310,0.9378700171892318
ADA,NVT_Tx_Basis_lag_3d,7,0.02230784487556998,2306,0.7808922394225669
ADA,NVT_Tx_Basis_lag_3d,14,0.3365397956673186,2299,0.9378700171892318
ADA,Velocity_Momentum_lag_3d,1,0.7642702651813181,2332,0.9378700171892318
ADA,Velocity_Momentum_lag_3d,3,0.558124233196132,2330,0.9378700171892318
ADA,Velocity_Momentum_lag_3d,7,0.7861298703360571,2326,0.9378700171892318
ADA,Velocity_Momentum_lag_3d,14,0.8092734249856661,2319,0.9378700171892318
