asset,horizon_days,state,mean_fwd,vs_baseline,n_days,n_indep
BTC,90,baseline,0.165156366517276,0.0,2074,23
BTC,90,cheap+fear,0.030186296314742834,-0.13497007020253315,440,4
BTC,90,deepcheap+extremefear,-0.03938201456657029,-0.20453838108384628,190,2
BTC,90,expensive+greed,0.22822377149516032,0.06306740497788432,735,8
BTC,90,grid:cheap+fear,0.030186296314742834,-0.13497007020253315,440,4
BTC,90,grid:cheap+neutral,0.20999089663870732,0.04483453012143132,119,1
BTC,90,grid:cheap+greed,0.09976931237253943,-0.06538705414473657,45,1
BTC,90,grid:mid+fear,0.12556793757252974,-0.03958842894474626,345,3
BTC,90,grid:mid+neutral,0.0854211316659677,-0.0797352348513083,130,1
BTC,90,grid:mid+greed,0.13242117335745984,-0.032735193159816156,96,1
BTC,90,grid:expensive+fear,0.4978799540371963,0.3327235875199203,41,1
BTC,90,grid:expensive+neutral,0.3616108100462649,0.1964544435289889,123,1
BTC,90,grid:expensive+greed,0.22822377149516032,0.06306740497788432,735,8
BTC,180,baseline,0.3782870283016704,0.0,1984,11
BTC,180,cheap+fear,0.16215900282680562,-0.21612802547486476,373,2
BTC,180,deepcheap+extremefear,-0.021564591074263117,-0.3998516193759335,162,1
BTC,180,expensive+greed,0.35448369530910856,-0.02380333299256182,735,4
BTC,180,grid:cheap+fear,0.16215900282680562,-0.21612802547486476,373,2
BTC,180,grid:cheap+neutral,0.5781853846759721,0.19989835637430176,119,1
BTC,180,grid:cheap+greed,0.068068048702983,-0.3102189795986874,45,1
BTC,180,grid:mid+fear,0.31589879135048443,-0.06238823695118595,327,1
BTC,180,grid:mid+neutral,0.15561835722442274,-0.22266867107724764,126,1
BTC,180,grid:mid+greed,0.4730077236024764,0.09472069530080601,95,1
BTC,180,grid:expensive+fear,1.853611253134174,1.4753242248325036,41,1
BTC,180,grid:expensive+neutral,0.925064261570924,0.5467772332692536,123,1
BTC,180,grid:expensive+greed,0.35448369530910856,-0.02380333299256182,735,4
BTC,365,baseline,0.6291347140629597,0.0,1799,4
BTC,365,cheap+fear,0.46842685287104496,-0.16070786119191477,365,1
BTC,365,deepcheap+extremefear,0.26040869081686063,-0.3687260232460991,162,1
BTC,365,expensive+greed,0.5821829721479433,-0.04695174191501639,656,1
BTC,365,grid:cheap+fear,0.46842685287104496,-0.16070786119191477,365,1
BTC,365,grid:cheap+neutral,1.3110210987556319,0.6818863846926722,119,1
BTC,365,grid:cheap+greed,1.2721062087350792,0.6429714946721194,45,1
BTC,365,grid:mid+fear,0.18769002176135796,-0.44144469230160177,276,1
BTC,365,grid:mid+neutral,0.44341385099731573,-0.185720863065644,112,1
BTC,365,grid:mid+greed,1.0257583948313,0.3966236807683403,94,1
BTC,365,grid:expensive+fear,1.5058264218905835,0.8766917078276237,39,1
BTC,365,grid:expensive+neutral,1.1726442208771464,0.5435095068141866,93,1
BTC,365,grid:expensive+greed,0.5821829721479433,-0.04695174191501639,656,1
BTC,540,baseline,0.9087547698099918,0.0,1624,3
BTC,540,cheap+fear,1.3734155894619988,0.464660819652007,365,1
BTC,540,deepcheap+extremefear,1.2264709429707463,0.3177161731607545,162,1
BTC,540,expensive+greed,0.4374257912167888,-0.471328978593203,564,1
BTC,540,grid:cheap+fear,1.3734155894619988,0.464660819652007,365,1
BTC,540,grid:cheap+neutral,1.9453275557347423,1.0365727859247504,119,1
BTC,540,grid:cheap+greed,1.3949275296476928,0.48617275983770103,45,1
BTC,540,grid:mid+fear,0.2365779297030544,-0.6721768401069375,230,1
BTC,540,grid:mid+neutral,0.9089364236982906,0.00018165388829882723,105,1
BTC,540,grid:mid+greed,1.5050856308342753,0.5963308610242835,94,1
BTC,540,grid:expensive+fear,1.6434477086010209,0.734692938791029,31,1
BTC,540,grid:expensive+neutral,1.2855072566179075,0.37675248680791573,71,1
BTC,540,grid:expensive+greed,0.4374257912167888,-0.471328978593203,564,1
ADA,90,baseline,0.299958773616833,0.0,2074,23
ADA,90,cheap+fear,-0.05126846509281099,-0.35122723870964395,424,4
ADA,90,deepcheap+extremefear,-0.08406623477418601,-0.384025008391019,150,1
ADA,90,expensive+greed,0.854059003799081,0.554100230182248,509,5
ADA,90,grid:cheap+fear,-0.05126846509281099,-0.35122723870964395,424,4
ADA,90,grid:cheap+neutral,0.29898520163986003,-0.0009735719769729534,137,1
ADA,90,grid:cheap+greed,0.016805519508164352,-0.28315325410866865,41,1
ADA,90,grid:mid+fear,0.11086595008620861,-0.18909282353062437,277,3
ADA,90,grid:mid+neutral,0.23870555388720516,-0.06125321972962783,139,1
ADA,90,grid:mid+greed,0.258618624408097,-0.041340149208735966,326,3
ADA,90,grid:expensive+fear,0.16813228722728046,-0.13182648638955252,125,1
ADA,90,grid:expensive+neutral,-0.018019310439742173,-0.3179780840565752,96,1
ADA,90,grid:expensive+greed,0.854059003799081,0.554100230182248,509,5
ADA,180,baseline,0.878896736430533,0.0,1984,11
ADA,180,cheap+fear,-0.027656670773186696,-0.9065534072037197,358,1
ADA,180,deepcheap+extremefear,-0.21646310549702,-1.095359841927553,115,1
ADA,180,expensive+greed,1.712616940002989,0.8337202035724559,509,2
ADA,180,grid:cheap+fear,-0.027656670773186696,-0.9065534072037197,358,1
ADA,180,grid:cheap+neutral,0.5936421174718604,-0.28525461895867266,136,1
ADA,180,grid:cheap+greed,0.6254659071859879,-0.2534308292445451,41,1
ADA,180,grid:mid+fear,0.9051679488374179,0.026271212406884903,258,1
ADA,180,grid:mid+neutral,1.2982434433390624,0.4193467069085294,136,1
ADA,180,grid:mid+greed,0.8246853765336223,-0.05421135989691073,325,1
ADA,180,grid:expensive+fear,0.1681980480377784,-0.7106986883927546,125,1
ADA,180,grid:expensive+neutral,0.7957168553160715,-0.0831798811144615,96,1
ADA,180,grid:expensive+greed,1.712616940002989,0.8337202035724559,509,2
ADA,365,baseline,1.6599849094950452,0.0,1799,4
ADA,365,cheap+fear,-0.06268018984695574,-1.722665099342001,346,1
ADA,365,deepcheap+extremefear,-0.286136828748924,-1.9461217382439693,115,1
ADA,365,expensive+greed,2.6200909420461485,0.9601060325511033,459,1
ADA,365,grid:cheap+fear,-0.06268018984695574,-1.722665099342001,346,1
ADA,365,grid:cheap+neutral,0.40955016372198544,-1.2504347457730598,136,1
ADA,365,grid:cheap+greed,0.4237362567651288,-1.2362486527299164,41,1
ADA,365,grid:mid+fear,2.2473064219904395,0.5873215124953943,218,1
ADA,365,grid:mid+neutral,2.75665563489862,1.096670725403575,127,1
ADA,365,grid:mid+greed,1.7628774859258085,0.10289257643076333,295,1
ADA,365,grid:expensive+fear,1.7511547789646822,0.09116986946963701,116,1
ADA,365,grid:expensive+neutral,2.7723863662595636,1.1124014567645184,61,1
ADA,365,grid:expensive+greed,2.6200909420461485,0.9601060325511033,459,1
ADA,540,baseline,0.882867899902568,0.0,1624,3
ADA,540,cheap+fear,0.24777874547991713,-0.6350891544226509,346,1
ADA,540,deepcheap+extremefear,0.16691539291328156,-0.7159525069892865,115,1
ADA,540,expensive+greed,1.0672694779408063,0.1844015780382383,374,1
ADA,540,grid:cheap+fear,0.24777874547991713,-0.6350891544226509,346,1
ADA,540,grid:cheap+neutral,1.359349241691849,0.4764813417892809,136,1
ADA,540,grid:cheap+greed,1.524035591192885,0.6411676912903169,41,1
ADA,540,grid:mid+fear,0.5690586011340415,-0.3138092987685265,180,1
ADA,540,grid:mid+neutral,0.9926618135905689,0.10979391368800095,118,1
ADA,540,grid:mid+greed,0.6121033521484781,-0.27076454775408987,288,1
ADA,540,grid:expensive+fear,2.055037308826921,1.1721694089243528,100,1
ADA,540,grid:expensive+neutral,2.4433205887216847,1.5604526888191166,41,1
ADA,540,grid:expensive+greed,1.0672694779408063,0.1844015780382383,374,1
