cagr,sharpe,sortino,maxdd,time_in_mkt,n_trades,trade_win_rate,daily_hit_rate,monthly_hit_rate,asset,ma,fee_bps
0.2812889779515353,0.8083186027562845,0.9443497044668429,-0.703369586691746,0.5301668806161746,255,0.3058823529411765,0.4963680387409201,0.5,BTC,7,0
0.1830957064425205,0.6131695435949585,0.7541205621748902,-0.7333549475835057,0.5301668806161746,255,0.3058823529411765,0.4915254237288136,0.47435897435897434,BTC,7,10
0.04957615450116237,0.3206932313611725,0.4007644543214393,-0.7854358206818383,0.5301668806161746,255,0.3058823529411765,0.48426150121065376,0.4358974358974359,BTC,7,25
0.31738328642832037,0.8904158564771698,1.0090450037052228,-0.5650867078212,0.5291845493562232,165,0.28484848484848485,0.5093268450932684,0.4230769230769231,BTC,14,0
0.25096503393940806,0.7601290746053013,0.8882987355096317,-0.6049240515180954,0.5291845493562232,165,0.28484848484848485,0.5068937550689375,0.38461538461538464,BTC,14,10
0.15745062405788612,0.5645933516322664,0.6683815741428002,-0.6580055821416031,0.5291845493562232,165,0.28484848484848485,0.5036496350364964,0.38461538461538464,BTC,14,25
0.43946700572182107,1.1043960689638606,1.242677442338726,-0.49928207095012955,0.5328435609334485,102,0.2549019607843137,0.5182481751824818,0.44871794871794873,BTC,30,0
0.393832586589149,1.0241021696392516,1.174400257993208,-0.5170159635829547,0.5328435609334485,102,0.2549019607843137,0.5182481751824818,0.4358974358974359,BTC,30,10
0.3279987171839607,0.9034790409184965,1.047867745937374,-0.5424771683083391,0.5328435609334485,102,0.2549019607843137,0.5150040551500406,0.4230769230769231,BTC,30,25
0.5775161180544408,1.3149230038332023,1.4621576509349927,-0.5611173151371986,0.5414123801220575,62,0.27419354838709675,0.5305958132045089,0.44155844155844154,BTC,50,0
0.546675018899667,1.2665760458098472,1.4256889358792888,-0.5715848899382721,0.5414123801220575,62,0.27419354838709675,0.5305958132045089,0.42857142857142855,BTC,50,10
0.5014844997003483,1.1938466596365052,1.3530754358909955,-0.5868388633633908,0.5414123801220575,62,0.27419354838709675,0.5289855072463768,0.42857142857142855,BTC,50,25
0.6355778925101896,1.060324055435195,1.3773609008051517,-0.7338873876316725,0.4766795036371416,247,0.291497975708502,0.48922800718132853,0.44871794871794873,ADA,7,0
0.5142063728862942,0.9445259082777955,1.2562676321902746,-0.7716327719984762,0.4766795036371416,247,0.291497975708502,0.4874326750448833,0.4230769230769231,ADA,7,10
0.34863035319051594,0.7706406869565345,1.038047698374315,-0.8248599540816439,0.4766795036371416,247,0.291497975708502,0.48114901256732495,0.3974358974358974,ADA,7,25
0.6175425139667519,1.0373694689350133,1.2570967874393106,-0.783853055733136,0.4699570815450644,150,0.2733333333333333,0.5050228310502283,0.38461538461538464,ADA,14,0
0.5431428658598112,0.9680369715229671,1.1876625236778848,-0.8005934017335077,0.4699570815450644,150,0.2733333333333333,0.5031963470319635,0.38461538461538464,ADA,14,10
0.4377827759475228,0.8639721927253549,1.0711377566495641,-0.8233316262745661,0.4699570815450644,150,0.2733333333333333,0.4968036529680365,0.358974358974359,ADA,14,25
0.6469261421811077,1.0585161229150497,1.2428114545329119,-0.7752696787852198,0.4420916162489196,97,0.21649484536082475,0.4975562072336266,0.32051282051282054,ADA,30,0
0.597156128274845,1.0138944066943942,1.199394334707178,-0.7863356840262619,0.4420916162489196,97,0.21649484536082475,0.49560117302052786,0.3076923076923077,ADA,30,10
0.5252187001935289,0.9468950458465172,1.1282969397616869,-0.8019404441695093,0.4420916162489196,97,0.21649484536082475,0.49266862170087977,0.28205128205128205,ADA,30,25
0.6280667692701496,1.0425269226516065,1.1971690258511838,-0.7001683167886628,0.41804707933740193,68,0.17647058823529413,0.5015641293013556,0.2727272727272727,ADA,50,0
0.5931670252138417,1.0109904213336458,1.1615182931204815,-0.7111650638330775,0.41804707933740193,68,0.17647058823529413,0.5015641293013556,0.2727272727272727,ADA,50,10
0.5421521857671083,0.963618479471649,1.1131005506975027,-0.726927999133781,0.41804707933740193,68,0.17647058823529413,0.4994786235662148,0.2597402597402597,ADA,50,25
