time,asset,PriceUSD,CapMrktCurUSD,TxCnt,AdrActCnt,CapMVRVCur,SplyCur,NVT_Tx_Basis,Activity_Velocity,FearGreedValue,ActiveStakeADA
2020-01-01,ada,0.033375059986576,1038370749.7698071,931.0,2331.0,0.376471495197,31112176283.35221,,0.3993993993993994,37.0,
2020-01-02,ada,0.032635995410209104,1015376834.1584061,1336.0,3455.0,0.370041147065,31112176031.277992,,0.38668596237337194,39.0,
2020-01-03,ada,0.034051259290680404,1059408764.1466976,1398.0,3470.0,0.38623692990900005,31112175767.216064,,0.4028818443804035,38.0,
2020-01-04,ada,0.034340853022750105,1068418647.8967491,1139.0,2956.0,0.389707053518,31112175553.38372,,0.3853179972936401,38.0,
2020-01-05,ada,0.0344652510771188,1072288934.0010328,1240.0,3013.0,0.39122136787300005,31112175321.21554,,0.4115499502157318,39.0,
2020-01-06,ada,0.0372105891192737,1157702360.809133,1656.0,4087.0,0.422175884709,31112175007.449326,,0.4051871788597994,41.0,
2020-01-07,ada,0.0370316875073858,1152136328.888465,1937.0,4587.0,0.42078123948,31112174638.508617,,0.4222803575321561,40.0,
2020-01-08,ada,0.036377894380153805,1131795390.5714228,1799.0,4472.0,0.41429886217,31112174298.600452,,0.4022808586762075,51.0,
2020-01-09,ada,0.036080331768761804,1122537560.4249892,1526.0,3743.0,0.41100068260300004,31112174012.681267,,0.40769436281057975,44.0,
2020-01-10,ada,0.0368220551754862,1145614178.491032,1392.0,3366.0,0.41964570553900005,31112173751.065083,,0.41354723707664887,41.0,
2020-01-11,ada,0.036846809587731295,1146384332.4785159,1388.0,3267.0,0.42010851852000003,31112173490.869118,,0.4248546066727885,50.0,
2020-01-12,ada,0.0376417519329894,1171116707.3679066,1320.0,3019.0,0.43123734482400006,31112173244.55971,,0.4372308711493872,45.0,
2020-01-13,ada,0.03691535367545751,1148516867.4413366,1679.0,4002.0,0.42305174011100005,31112172933.207115,,0.41954022988505746,49.0,
2020-01-14,ada,0.041641434094448405,1295555481.1336823,2163.0,5661.0,0.476025707575,31112172510.56213,,0.3820879703232644,56.0,
2020-01-15,ada,0.0425975716917356,1325302981.4819188,2164.0,5149.0,0.486900049172,31112172099.21481,,0.4202757817051855,54.0,
2020-01-16,ada,0.04142003118862711,1288667125.5129228,1700.0,4016.0,0.47357719983900004,31112171780.951202,,0.42330677290836655,55.0,
2020-01-17,ada,0.045264184632233,1408267068.0876148,2270.0,5512.0,0.517395204206,31112171345.394703,,0.4118287373004354,54.0,
2020-01-18,ada,0.0449215166028697,1397605905.1946154,1954.0,4475.0,0.51354745714,31112170979.22586,,0.43664804469273744,51.0,
2020-01-19,ada,0.0419967860477753,1306611172.499247,1955.0,4798.0,0.48055366452000003,31112170607.83779,,0.4074614422676115,53.0,
2020-01-20,ada,0.0439139639266661,1366258723.20201,1757.0,3860.0,0.5019226610790001,31112170276.488514,,0.45518134715025904,48.0,
2020-01-21,ada,0.0459143302497329,1428494442.1384933,2127.0,5301.0,0.5257824172400001,31112169868.726406,,0.4012450481041313,49.0,
2020-01-22,ada,0.0454597618702152,1414351816.9563253,1946.0,4383.0,0.5208049437000001,31112169504.85161,,0.4439881359799224,52.0,
2020-01-23,ada,0.0430659428153042,1339874898.9056778,1709.0,3988.0,0.49372323468900003,31112169183.244514,,0.4285356068204614,49.0,
2020-01-24,ada,0.0448200113647082,1394447763.295448,1563.0,3766.0,0.5136256319120001,31112168891.44862,,0.4150292087095061,40.0,
2020-01-25,ada,0.043218152208751505,1344610440.274477,1290.0,3265.0,0.49544818474900004,31112168650.333893,,0.39509954058192953,41.0,
2020-01-26,ada,0.044436995860131404,1382531298.5978317,1337.0,2979.0,0.509349134769,31112168404.665497,,0.44880832494125544,42.0,
2020-01-27,ada,0.04785201367074591,1488779890.8804793,1862.0,4418.0,0.548331385291,31112168050.529457,,0.4214576731552739,50.0,
2020-01-28,ada,0.05284264631536,1644049263.5578032,2860.0,7589.0,0.6020648853180001,31112167504.75118,971209.3206383917,0.37686124654104625,54.0,
